 0.900	 0.633     0
 0.855	-0.088     0
 1.023	 1.410     0
-1.245	 0.379     5
 0.501	 0.305     0
 1.069	 0.312     0
-0.016	-0.335     3
 0.940	 1.027     0
 0.975	 1.005     0
 0.997	 1.125     0
 1.062	 0.393     0
-1.272	 0.253     5
-1.098	 0.121     5
 0.265	 0.816     0
 1.001	 1.445     0
 0.864	 0.336     0
 0.830	-0.136     0
 1.319	 0.286     0
-0.678	 0.154     5
 1.082	 0.752     0
 1.305	-1.129     2
 0.804	 0.539     0
 1.210	 0.089     0
 0.125	 0.193     3
 0.043	 0.731     4
-0.806	 0.449     5
-0.511	 0.071     3
-1.173	-0.145     1
 0.906	-0.807     2
-1.165	-0.046     1
-1.162	-0.156     1
-0.058	 1.268     4
-0.124	-0.084     3
 0.877	-0.463     2
-0.100	 1.465     4
 0.954	 0.739     0
-0.989	-0.194     1
 0.025	 0.689     4
-0.125	 0.077     3
-0.843	-0.349     1
-1.056	 0.068     5
 0.244	 0.198     3
 1.170	 0.529     0
 1.132	 1.085     0
-0.552	-0.582     3
-0.107	 0.042     3
 1.077	-1.205     2
 1.072	-1.071     2
 1.120	-0.044     0
-0.192	 0.060     3
 1.088	-1.257     2
 0.121	-0.003     3
 0.852	-1.047     2
 0.242	 0.147     3
 0.297	 0.415     0
 0.175	 0.158     3
 0.885	 0.516     0
-1.152	 0.760     5
 1.011	 1.312     0
 1.010	-0.223     0
-0.986	 0.132     5
-0.763	 0.164     5
 1.313	 1.309     0
 0.674	 0.787     0
 0.015	 0.329     3
-0.920	 0.239     5
 0.847	 0.926     0
-0.257	-0.310     3
 1.105	-0.377     2
-0.846	-0.284     1
-0.945	 0.097     5
-0.963	-0.067     5
 0.551	 0.980     0
 0.777	 0.185     0
 1.628	 0.029     0
-0.031	-0.338     3
-0.091	-0.246     3
 0.105	 1.481     4
 0.761	-0.399     3
 0.967	 1.163     0
 1.187	 1.382     0
-0.780	-0.129     5
 1.417	 0.119     0
-0.903	 0.006     5
 0.856	-0.210     0
 0.115	-0.028     3
-1.344	 0.060     1
-1.398	-0.070     1
-0.923	 0.052     5
 0.200	 0.480     0
 0.018	 0.756     4
 0.373	 1.049     0
 0.151	 0.040     3
-0.436	-0.085     3
-0.319	 0.145     3
-0.097	-0.459     3
 0.907	 0.923     0
-0.939	-0.208     1
-0.847	-0.781     1
-0.562	-0.310     3
-0.914	-0.305     1
 0.540	-0.101     3
 0.265	 0.232     0
-0.925	 0.382     5
-1.285	-0.149     1
 0.916	-0.837     2
 1.427	 1.196     0
-0.375	-0.054     3
 0.625	-0.315     3
 0.186	 1.164     4
 1.154	-1.169     2
 1.014	-0.940     2
 0.632	 0.135     0
-0.945	 0.110     5
-1.183	 0.276     5
 0.675	-0.300     3
 0.027	-0.116     3
 1.163	 0.470     0
-0.253	-0.238     3
-0.726	-0.028     5
 0.985	 1.060     0
 0.393	-0.012     3
-0.331	 1.091     4
 0.370	 0.042     3
 1.168	 0.108     0
 1.171	-0.020     0
 1.075	 1.612     0
 0.925	 0.233     0
-0.085	 1.087     4
 0.728	 1.022     0
 1.425	-0.546     2
-0.158	 0.094     3
 1.110	-0.144     0
 1.125	-0.114     0
 1.338	-0.229     0
-0.793	-0.081     5
-1.368	 0.171     5
 1.052	 0.187     0
 0.273	 1.173     4
 0.377	 1.060     0
-0.813	 0.494     5
 1.215	 1.098     0
 0.091	 0.826     4
 0.180	 0.204     3
 0.919	-0.962     2
 1.173	 0.562     0
-0.266	 0.561     5
 1.199	 0.392     0
 1.405	-1.096     2
-0.791	-0.017     5
 0.103	 1.133     4
-0.257	 1.316     4
 0.552	-0.061     3
-0.712	 0.459     5
 0.929	-1.086     2
-0.297	-0.174     3
 0.903	 1.231     0
 0.951	-0.817     2
-0.056	 0.126     3
 0.939	 0.964     0
-1.088	-0.326     1
 0.471	 0.117     0
 0.511	 0.004     0
-1.166	 0.015     5
 1.431	 0.962     0
 1.023	 1.036     0
 1.246	-0.228     0
 0.862	 1.006     0
-0.984	-0.038     5
 0.900	-1.364     2
 1.183	-1.271     2
-0.555	 0.386     5
 0.018	 0.731     4
 0.777	-0.325     3
-1.499	-0.449     1
 1.103	 0.677     0
 1.342	-0.742     2
 0.873	-0.397     2
-1.040	-0.228     1
 0.090	-0.003     3
 1.021	 0.977     0
 1.440	 1.160     0
 0.834	 0.704     0
 0.585	-1.131     2
 1.422	 0.585     0
 0.934	-0.657     2
 0.591	 1.036     0
-1.038	-0.302     1
 0.298	 0.318     0
 0.201	 0.300     0
-0.019	-0.140     3
-0.116	-0.095     3
-0.756	-0.079     5
-0.269	-0.062     3
 0.875	 1.015     0
 0.433	-0.887     2
-1.008	 0.542     5
 0.413	 0.107     0
 1.174	 0.042     0
 1.209	 1.316     0
